Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors
360 One Wam Limited,Financial Services (capital markets),57,57,69,62,Strong,Mar-23,All sectors adequate
3M India Limited,Industrials,37,47,72,53,Adequate,Mar-22,Environment/Social
Aadhar Housing Finance Limited,NBFC,46,47,67,55,Adequate,Mar-23,Environment/Social
Aarti Drugs Limited,Pharmaceuticals,29,45,63,46,Adequate,Mar-22,Environment/Social
Aarti Industries Limited,Chemicals - Speciality Chemicals,43,61,63,56,Adequate,Mar-23,Environment
AAVAS Financiers Limited,NBFC,52,56,71,61,Strong,Mar-23,All sectors adequate
ABB India Limited,Heavy Electrical Equipment,51,57,71,CRISIL ESG 61,Strong,Mar-23,All sectors adequate
Abbott India Limited,Pharmaceuticals,38,49,68,53,Adequate,Mar-22,Environment/Social
ACC Limited,Cement,45,55,59,53,Adequate,Mar-23,Environment
Accelya Solutions India Limited,IT,40,62,75,60,Adequate,Jun-23,Environment
Action Construction Equipment Limited,Industrials,29,38,66,46,Adequate,Mar-22,Environment/Social
Adani Energy Solutions Limited,Power T&D,55,66,64,61,Strong,Mar-23,All sectors adequate
Adani Enterprises Limited,Diversified,30,58,57,48,Adequate,Mar-22,Environment
Adani Green Energy Limited,"Power Renewable (Solar, Wind)",67,66,64,66,Strong,Mar-23,All sectors adequate
Adani Ports & Special Economic Zone Limited,Ports & Port Services,47,63,61,57,Adequate,Mar-23,Environment
Adani Power Limited,Power Thermal,41,61,64,55,Adequate,Mar-23,Environment
Adani Total Gas Limited,Oil & Gas - Gas,51,64,61,58,Adequate,Mar-23,All sectors adequate
Adani Wilmar Limited,FMCG,49,48,65,55,Adequate,Mar-23,Environment/Social
ADF Foods Limited,FMCG,38,47,61,49,Below Average,Mar-23,Environment/Social
Aditya Birla Capital Limited,Holding company,48,45,70,56,Adequate,Mar-22,Environment/Social
Aditya Birla Fashion & Retail Limited,Consumer Retail,55,63,70,63,Strong,Mar-22,All sectors adequate
Aditya Birla Housing Finance Limited,NBFC,46,44,66,54,Adequate,Mar-23,Environment/Social
Aditya Birla Sun Life AMC Limited,Financial Services (Capital Market),60,49,69,61,Strong,Mar-23,Social
Ador Welding Limited,Industrials,28,40,67,47,Adequate,Mar-22,Environment/Social
Advanced Enzyme Technologies Limited,Pharmaceuticals,50,66,67,61,Strong,Mar-22,All sectors adequate
Aegis Logistics Limited,Logistics,31,34,68,47,Below Average,Mar-23,Environment/Social
Aether Industries Limited,Chemicals - Speciality Chemicals,28,58,66,51,Adequate,Mar-23,Environment
Affle (India) Limited,IT,36,49,75,55,Adequate,Mar-23,Environment/Social
AGI Greenpac Limited,Building material,30,41,64,46,Adequate,Mar-22,Environment/Social
Agro Tech Foods Limited,FMCG,39,54,63,52,Adequate,Mar-23,Environment
AGS Transact Technologies Limited,IT,41,54,64,54,Adequate,Mar-23,Environment
Ahluwalia Contracts India Limited,Construction EPC,30,54,65,50,Below Average,Mar-23,Environment
AIA Engineering Limited,Heavy Engineering,47,45,68,55,Adequate,Mar-22,Environment/Social
Ajanta Pharma Limited,Pharmaceuticals,48,63,67,59,Adequate,Mar-22,Environment
Akzo Nobel India Limited,Paints,54,56,70,61,Strong,Mar-23,All sectors adequate
Alembic Limited,Real Estate,27,48,72,50,Below Average,Mar-23,Environment/Social
Alembic Pharmaceuticals Limited,Pharmaceuticals,33,52,65,51,Adequate,Mar-22,Environment
Alicon Castalloy Limited,Auto Ancillary,25,36,61,42,Below Average,Mar-22,Environment/Social
Alkem Laboratories Limited,Pharmaceuticals,43,49,67,54,Adequate,Mar-22,Environment/Social
Alkyl Amines Chemicals Limited,Chemicals - Speciality Chemicals,36,44,58,47,Below Average,Mar-23,Environment/Social
Allcargo Gati Limited,Logistics,32,39,64,46,Below Average,Mar-23,Environment/Social
Allcargo Logistics Limited,Logistics,34,37,63,46,Below Average,Mar-23,Environment/Social
Alok Industries Limited,Textiles,28,58,58,CRISIL ESG 47,Below Average,Mar-23,Environment
Amara Raja Energy & Mobility Limited,Batteries,27,41,65,46,Adequate,Mar-22,Environment/Social
Amber Enterprises India Limited,Durables & Electricals,44,54,65,55,Adequate,Mar-22,Environment
Ambuja Cements Limited,Cement,43,54,56,51,Adequate,Mar-23,Environment
Ami Organics Limited,Pharmaceuticals,42,51,68,55,Adequate,Mar-22,Environment
Amrutanjan Health Care Limited,Pharmaceuticals,26,49,68,49,Adequate,Mar-22,Environment/Social
Anand Rathi Wealth Limited,Financial Services (capital markets),47,55,72,59,Adequate,Mar-23,Environment
Anant Raj Limited,Real Estate,30,50,67,50,Below Average,Mar-23,Environment
Andhra Paper Limited,Paper,29,51,65,49,Below Average,Mar-23,Environment
Angel One Limited,Financial Services (Capital Market),43,57,71,57,Adequate,Mar-23,Environment
Antony Waste Handling Cell Limited,Water and Waste Management,32,45,65,48,Adequate,Mar-22,Environment/Social
Anupam Rasayan India Limited,Chemicals - Speciality Chemicals,38,45,74,54,Adequate,Mar-23,Environment/Social
Apar Industries Limited,Other Electrical Equipment,53,59,68,CRISIL ESG 60,Adequate,Mar-23,All sectors adequate
Apcotex Industries Limited,Chemicals - Speciality Chemicals,36,63,72,57,Adequate,Mar-23,Environment
Apex Frozen Foods Limited,FMCG,41,54,66,54,Adequate,Mar-23,Environment
APL Apollo Tubes Limited,Metals - Linked Products,43,58,71,58,Adequate,Mar-23,Environment
Apollo Hospitals Enterprise Limited,Healthcare,53,67,70,63,Strong,Mar-23,All sectors adequate
Apollo Pipes Limited,Plastic Products - Pipes,42,53,67,55,Adequate,Mar-23,Environment
Apollo Tyres Limited,Tyre,47,59,66,58,Adequate,Mar-23,Environment
Aptus Value Housing Finance India Limited,NBFC,46,56,67,57,Adequate,Mar-23,Environment
Archean Chemical Industries Limited,Commodity Chemicals,20,50,65,46,Below Average,Mar-23,Environment
Arvind Fashions Limited,Consumer Retail,34,41,65,48,Adequate,Mar-22,Environment/Social
Arvind Limited,Textiles,46,57,70,CRISIL ESG 58,Adequate,Mar-23,Environment
Arvind Smartspaces Limited,Real Estate,34,51,65,51,Adequate,Mar-23,Environment
Asahi India Glass Limited,Industrials,28,36,63,44,Below Average,Mar-22,Environment/Social
Ashiana Housing Limited,Real Estate,34,48,60,48,Below Average,Mar-23,Environment/Social
Ashok Leyland Limited,Auto OEM,46,56,70,58,Adequate,Mar-23,Environment
Ashoka Buildcon Limited,Construction EPC,35,58,63,52,Adequate,Mar-23,Environment
Asian Paints Limited,Paints,58,60,77,66,Strong,Mar-23,All sectors adequate
Asian Star Company Limited,Consumer Retail,30,41,64,47,Adequate,Mar-22,Environment/Social
Astec Lifesciences Limited,Chemicals - Speciality Chemicals,37,64,67,56,Adequate,Mar-23,Environment
Aster DM Healthcare Limited,Healthcare,59,67,64,63,Strong,Mar-23,All sectors adequate
Astra Microwave Products Limited,Industrials,26,40,71,48,Adequate,Mar-22,Environment/Social
Astral Limited,Plastic Products - Pipes,47,52,66,56,Adequate,Mar-23,Environment
Astrazeneca Pharma India Limited,Pharmaceuticals,29,52,69,51,Adequate,Mar-22,Environment
Atul Limited,Chemicals - Speciality Chemicals,32,47,65,49,Below Average,Mar-23,Environment/Social
AU Small Finance Bank Limited,Banks,61,61,79,68,Strong,Mar-23,All sectors adequate
Aurobindo Pharma Limited,Pharmaceuticals,47,57,67,57,Adequate,Mar-22,Environment
Automotive Axles Limited,Auto Ancillary,27,36,69,46,Adequate,Mar-22,Environment/Social
Avadh Sugar & Energy Limited,Sugar,31,41,65,47,Adequate,Mar-22,Environment/Social
Avalon Technologies Limited,Other Electrical Equipment,24,30,58,CRISIL ESG 39,Weak,Mar-23,Environment/Social
Avanti Feeds Limited,FMCG,39,49,67,53,Adequate,Mar-23,Environment/Social
Avenue Supermarts Limited,Retailing (Diversified Retail),50,65,69,CRISIL ESG 61,Strong,Mar-23,All sectors adequate
Axis Bank Limited,Banks,70,61,77,71,Leadership,Mar-23,All sectors adequate
Axis Finance Limited,NBFC,49,39,58,50,Below Average,Mar-23,Environment/Social
Bahadur Chand Investments Private Limited,Holding company,47,53,46,48,Adequate,Mar-22,Environment/Governance
Bajaj Auto Limited,Auto OEM,47,63,68,59,Adequate,Mar-23,Environment
Bajaj Consumer Care Limited,FMCG,46,58,66,57,Adequate,Mar-23,Environment
Bajaj Electricals Limited,Durables & Electricals,41,46,66,52,Adequate,Mar-22,Environment/Social
Bajaj Finance Limited,NBFC,59,65,71,65,Strong,Mar-23,All sectors adequate
Bajaj Finserv Limited,Holding company,55,52,65,58,Adequate,Mar-22,All sectors adequate
Bajaj Hindusthan Sugar Limited,Sugar,29,40,57,43,Below Average,Mar-22,Environment/Social
Bajaj Holdings & Investment Limited,Holding company,37,45,71,53,Adequate,Mar-22,Environment/Social
Bajaj Housing Finance Limited,NBFC,50,44,65,55,Adequate,Mar-23,Social
Balaji Amines Limited,Chemicals - Speciality Chemicals,29,48,61,47,Below Average,Mar-23,Environment/Social
Balkrishna Industries Limited,Tyre,42,60,69,57,Adequate,Mar-23,Environment
Balrampur Chini Mills Limited,Sugar,33,41,70,50,Adequate,Mar-22,Environment/Social
Banco Products (I) Limited,Auto Ancillary,25,35,64,43,Below Average,Mar-22,Environment/Social
Bandhan Bank Limited,Banks,57,67,76,67,Strong,Mar-23,All sectors adequate
Bank of Baroda,Banks,59,66,61,62,Strong,Mar-23,All sectors adequate
Bank of India,Banks,47,56,61,55,Adequate,Mar-23,Environment
Bank of Maharashtra,Banks,49,62,61,57,Adequate,Mar-23,Environment
Bannari Amman Sugars Limited,Sugar,28,39,61,44,Adequate,Mar-23,Environment/Social
Barbeque-Nation Hospitality Limited,Restaurants,33,53,68,52,Adequate,Mar-23,Environment
BASF India Limited,Chemicals - Speciality Chemicals,46,57,64,56,Adequate,Mar-23,Environment
Bata India Limited,Consumer Retail,32,44,73,51,Adequate,Mar-22,Environment/Social
Bayer Cropscience Limited,Chemicals - Speciality Chemicals,42,58,69,57,Adequate,Mar-23,Environment
BEML Limited,Industrials,31,42,62,46,Adequate,Mar-22,Environment/Social
Bengal & Assam Company Limited,Holding company,31,41,65,47,Adequate,Mar-22,Environment/Social
Berger Paints India Limited,Paints,45,46,67,54,Adequate,Mar-23,Environment/Social
BF Utilities Limited,"Power Renewable (Solar, Wind)",38,40,64,49,Adequate,Mar-22,Environment/Social
Bhansali Engineering Polymers Limited,Chemicals - Speciality Chemicals,33,54,66,52,Adequate,Mar-23,Environment
Bharat Bijlee Limited,Other Electrical Equipment,46,55,68,CRISIL ESG 57,Adequate,Mar-23,Environment
Bharat Dynamics Limited,Industrials,28,44,59,44,Below Average,Mar-22,Environment/Social
Bharat Electronics Limited,Industrials,31,49,62,48,Adequate,Mar-22,Environment/Social
Bharat Forge Limited,Auto Ancillary,47,55,67,57,Adequate,Mar-22,Environment
Bharat Heavy Electricals Limited,Heavy Electrical Equipment,41,66,63,CRISIL ESG 56,Adequate,Mar-23,Environment
Bharat Petroleum Corporation Limited,Oil & Gas - Refining & Marketing,38,57,62,52,Adequate,Mar-23,Environment
Bharat Sanchar Nigam Limited,Telecom,28,35,61,43,Below Average,Mar-23,Environment/Social
Bharti Airtel Limited,Telecom,56,53,66,59,Adequate,Mar-23,All sectors adequate
Bharti Telecom Limited,Holding company,60,61,52,57,Adequate,Mar-22,All sectors adequate
Bikaji Foods International Limited,FMCG,45,54,64,55,Adequate,Mar-23,Environment
Biocon Limited,Pharmaceuticals,46,65,71,61,Strong,Mar-22,Environment
Birla Corporation Limited,Cement,34,46,62,48,Below Average,Mar-23,Environment/Social
Birla Group Holdings Private Limited,Holding company,37,48,27,36,Below Average,Mar-22,Environment/Social/Governance
Birlasoft Limited,IT,47,47,69,56,Adequate,Mar-23,Environment/Social
Black Box Limited,IT,40,60,66,55,Adequate,Mar-23,Environment
Bliss GVS Pharma Limited,Pharmaceuticals,26,44,70,48,Adequate,Mar-22,Environment/Social
Blue Dart Express Limited,Logistics,38,52,74,56,Adequate,Mar-23,Environment
Blue Star Limited,Durables & Electricals,30,43,66,48,Adequate,Mar-22,Environment/Social
Bodal Chemicals Limited,Chemicals - Speciality Chemicals,33,53,69,52,Adequate,Mar-23,Environment
Bombay Burmah Trading Corporation Limited,Holding company,27,41,65,46,Adequate,Mar-22,Environment/Social
Bombay Dyeing & Manufacturing Company Limited,Textiles,31,56,62,CRISIL ESG 50,Below Average,Mar-23,Environment
Borosil Limited,Consumer Retail,30,41,68,48,Adequate,Mar-22,Environment/Social
Borosil Renewables Limited,Consumer Retail,32,43,67,49,Adequate,Mar-22,Environment/Social
Bosch Limited,Auto Ancillary,27,35,68,46,Adequate,Mar-22,Environment/Social
Brigade Enterprises Limited,Real Estate,51,57,68,59,Adequate,Mar-23,All sectors adequate
Britannia Industries Limited,FMCG,54,58,68,60,Adequate,Mar-23,All sectors adequate
Brookfield India Real Estate Trust,REIT,31,20,54,38,Weak,Mar-23,Environment/Social
BSE Limited,Financial Services (capital markets),49,44,78,59,Adequate,Mar-23,Environment/Social
Butterfly Gandhimathi Appliances Limited,Durables & Electricals,28,37,70,47,Adequate,Mar-22,Environment/Social
C.E. Info Systems Limited,IT,41,61,68,57,Adequate,Mar-23,Environment
Camlin Fine Sciences Limited,Chemicals - Speciality Chemicals,17,30,64,39,Weak,Mar-23,Environment/Social
Campus Activewear Limited,Consumer Retail,28,42,68,48,Adequate,Mar-22,Environment/Social
Can Fin Homes Limited,NBFC,51,57,71,61,Strong,Mar-23,All sectors adequate
Canara Bank,Banks,51,68,68,62,Strong,Mar-23,All sectors adequate
Cantabil Retail India Limited,Textile,22,39,67,44,Below Average,Mar-22,Environment/Social
Capacit'e Infraprojects Limited,Construction EPC,30,54,67,51,Adequate,Mar-23,Environment
Caplin Point Laboratories Limited,Pharmaceuticals,25,47,71,49,Adequate,Mar-22,Environment/Social
Capri Global Capital Limited,NBFC,49,56,74,61,Strong,Mar-23,Environment
Carborundum Universal Limited,Industrials,29,38,70,48,Adequate,Mar-22,Environment/Social
Care Ratings Limited,Financial Services (Rating Agencies),41,45,74,55,Adequate,Mar-22,Environment/Social
Cartrade Tech Limited,E-Retail/ E-Commerce,39,45,69,52,Adequate,Mar-23,Environment/Social
Carysil Limited,Building material,26,35,63,43,Below Average,Mar-22,Environment/Social
Castrol India Limited,Lubricants,54,60,70,62,Strong,Dec-22,All sectors adequate
CCL Products (India) Limited,FMCG,34,46,71,52,Adequate,Mar-23,Environment/Social
Ceat Limited,Tyre,51,64,65,60,Adequate,Mar-23,All sectors adequate
Central Bank Of India,Banks,55,65,63,61,Strong,Mar-23,All sectors adequate
Central Depository Services (India) Limited,Financial Services (capital markets),46,48,77,59,Adequate,Mar-23,Environment/Social
Centum Electronics Limited,Heavy Engineering,28,42,64,46,Adequate,Mar-22,Environment/Social
Century Enka Limited,Textiles,39,58,73,CRISIL ESG 57,Adequate,Mar-23,Environment
Century Plyboards (India) Limited,Plywood Board,35,48,64,50,Below Average,Mar-23,Environment/Social
Century Textiles & Industries Limited,Paper,48,64,70,61,Strong,Mar-23,Environment
Cera Sanitaryware Limited,Sanitary ware and Ceramics,41,62,68,57,Adequate,Mar-23,Environment
CESC Limited,Power Thermal,31,55,67,51,Adequate,Mar-23,Environment
CG Power and Industrial Solutions Limited,Heavy Electrical Equipment,44,55,70,CRISIL ESG 57,Adequate,Mar-23,Environment
Chalet Hotels Limited,Hotels,58,59,66,62,Strong,Mar-23,All sectors adequate
Chambal Fertilizers & Chemicals Limited,Chemicals - Fertilizers,40,53,63,52,Adequate,Mar-23,Environment
Chemcon Speciality Chemicals Limited,Chemicals - Speciality Chemicals,27,30,59,41,Below Average,Mar-23,Environment/Social
Chemplast Sanmar Limited,Commodity Chemicals,45,56,67,56,Adequate,Mar-23,Environment
Chennai Petroleum Corporation Limited,Oil & Gas - Refining & Marketing,46,51,64,54,Adequate,Mar-23,Environment
Cholamandalam Financial Holdings Limited,Holding company,52,57,63,58,Adequate,Mar-22,All sectors adequate
Cholamandalam Investment & Finance Company Limited,NBFC,56,65,62,60,Adequate,Mar-23,All sectors adequate
CIE Automotive India Limited,Auto Ancillary,27,34,67,45,Below Average,Dec-21,Environment/Social
Cipla Limited,Pharmaceuticals,59,68,78,69,Strong,Mar-22,All sectors adequate
City Union Bank Limited,Banks,53,61,80,66,Strong,Mar-23,All sectors adequate
Clean Science & Technology Limited,Chemicals - Speciality Chemicals,38,59,67,55,Adequate,Mar-23,Environment
Cms Info Systems Limited,Logistics,25,37,65,44,Below Average,Mar-22,Environment/Social
Coal India Limited,Mining,37,60,60,52,Adequate,Mar-23,Environment
Cochin Shipyard Limited,Shipbuilding,36,59,58,51,Adequate,Mar-22,Environment
Coforge Limited,IT,63,59,71,65,Strong,Mar-23,All sectors adequate
Colgate - Palmolive India Limited,FMCG,52,57,73,62,Strong,Mar-23,All sectors adequate
Computer Age Management Services Limited,Financial Services (capital markets),50,62,74,62,Strong,Mar-23,All sectors adequate
Confidence Petroleum India Limited,Oil & Gas - Gas,27,53,69,50,Below Average,Mar-23,Environment
Container Corporation of India Limited,Logistics,34,48,60,48,Below Average,Mar-23,Environment/Social
Coromandel International Limited,Chemicals - Fertilizers,44,54,71,57,Adequate,Mar-23,Environment
Craftsman Automation Limited,Auto Ancillary,31,43,69,49,Adequate,Mar-22,Environment/Social
CreditAccess Grameen Limited,NBFC,56,66,74,66,Strong,Mar-23,All sectors adequate
Crompton Greaves Consumer Electricals Limited,Durables & Electricals,31,41,74,51,Adequate,Mar-22,Environment/Social
CSB Bank Limited,Banks,58,57,77,65,Strong,Mar-23,All sectors adequate
Cummins India Limited,Industrials,37,42,67,50,Adequate,Mar-22,Environment/Social
Cyient Limited,IT,53,43,72,58,Adequate,Mar-23,Social
D.B. Corp Limited,Media,42,42,62,50,Adequate,Mar-22,Environment/Social
Dabur India Limited,FMCG,47,51,67,56,Adequate,Mar-23,Environment
Dalmia Bharat Limited,Cement,52,51,62,56,Adequate,Mar-23,All sectors adequate
Dalmia Bharat Sugar & Industries Limited,Sugar,53,59,72,62,Strong,Mar-22,All sectors adequate
Data Patterns (India) Limited,Industrials,28,35,62,43,Below Average,Mar-22,Environment/Social
Datamatics Global Services Limited,IT,43,43,67,52,Adequate,Mar-23,Environment/Social
D B Realty Ltd,Real Estate,30,42,59,45,Below Average,Mar-23,Environment/Social
DCB Bank Limited,Banks,57,57,77,65,Strong,Mar-23,All sectors adequate
DCM Shriram Limited,Chemicals - Speciality Chemicals,28,58,64,50,Adequate,Mar-22,Environment
Deepak Fertilizers & Petrochemicals Corporation Limited,Commodity Chemicals,23,37,67,44,Below Average,Mar-23,Environment/Social
Deepak Nitrite Limited,Chemicals - Speciality Chemicals,27,38,66,45,Below Average,Mar-23,Environment/Social
Delhivery Limited,Logistics,35,48,71,53,Adequate,Mar-23,Environment/Social
Delta Corp Limited,Hotels,45,48,67,55,Adequate,Mar-23,Environment/Social
DEN Networks Limited,Media,38,41,60,47,Adequate,Mar-22,Environment/Social
Devyani International Limited,Restaurants,28,43,69,48,Below Average,Mar-23,Environment/Social
Dhampur Sugar Mills Limited,Sugar,31,43,64,47,Adequate,Mar-22,Environment/Social
Dhani Services Limited,Financial Services (Capital Market),46,40,58,49,Below Average,Mar-23,Environment/Social
Dhanuka Agritech Limited,Chemicals - Speciality Chemicals,32,56,63,50,Below Average,Mar-23,Environment
Dilip Buildcon Limited,Construction EPC,33,51,63,49,Below Average,Mar-23,Environment
Disa India Limited,Industrials,27,37,68,46,Adequate,Mar-22,Environment/Social
Dish TV India Limited,Media,36,41,61,48,Adequate,Mar-22,Environment/Social
Dishman Carbogen Amcis Limited,Pharmaceuticals,25,49,69,49,Adequate,Mar-22,Environment/Social
Divi's Laboratories Limited,Pharmaceuticals,31,50,68,51,Adequate,Mar-22,Environment
Dixon Technologies (India) Limited,Durables & Electricals,28,46,70,49,Adequate,Mar-22,Environment/Social
DLF Limited,Real Estate,43,58,68,57,Adequate,Mar-23,Environment
Dodla Dairy Limited,FMCG,46,53,66,56,Adequate,Mar-23,Environment
Dr. Lal Pathlabs Limited,Healthcare,46,63,70,60,Adequate,Mar-23,Environment
Dr. Reddy's Laboratories Limited,Pharmaceuticals,56,67,73,66,Strong,Mar-22,All sectors adequate
Dwarikesh Sugar Industries Limited,Sugar,31,42,68,48,Adequate,Mar-22,Environment/Social
Dynamatic Technologies Limited,Industrials,39,48,66,52,Adequate,Mar-22,Environment/Social
Easy Trip Planners Limited,"Tour, Travel Related Services",46,61,68,59,Adequate,Mar-23,Environment
Eclerx Services Limited,IT,66,64,76,70,Strong,Mar-23,All sectors adequate
Edelweiss Financial Services Limited,Holding,41,33,55,45,Below Average,Mar-23,Environment/Social
Edelweiss Rural & Corporate Services Limited,Financial Services (capital markets),35,28,52,40,Weak,Mar-23,Environment/Social
Eicher Motors Limited,Auto OEM,41,59,69,57,Adequate,Mar-23,Environment
EID-Parry (India) Limited,Sugar,40,50,72,55,Adequate,Mar-22,Environment
EIH Limited,Hotels,43,49,62,52,Adequate,Mar-23,Environment/Social
Elantas Beck India Limited,Chemicals - Speciality Chemicals,14,31,66,39,Weak,Dec-22,Environment/Social
Elecon Engineering Company Limited,Industrials,28,35,64,44,Below Average,Mar-22,Environment/Social
Electrosteel Castings Limited,Metals Ferrous,30,58,65,51,Adequate,Mar-23,Environment
Elgi Equipments Limited,Industrials,40,39,64,49,Adequate,Mar-22,Environment/Social
Emami Limited,FMCG,46,58,63,56,Adequate,Mar-23,Environment
Emami Paper Mills Limited,Paper,38,52,65,52,Adequate,Mar-23,Environment
Embassy Office Parks Reit,REIT,46,47,58,51,Adequate,Mar-23,Environment/Social
Emudhra Limited,IT,42,52,70,56,Adequate,Mar-23,Environment
Endurance Technologies Limited,Auto Ancillary,29,35,67,46,Adequate,Mar-22,Environment/Social
Engineers India Limited,Construction EPC,36,58,57,50,Below Average,Mar-23,Environment
Entertainment Network (India) Limited,Media,38,47,64,51,Adequate,Mar-22,Environment/Social
EPIGRAL Limited,Commodity Chemicals,23,52,72,50,Below Average,Mar-23,Environment
EPL Limited,Industrials,56,45,66,57,Adequate,Mar-22,Social
Equitas Small Finance Bank Limited,Banks,53,60,78,65,Strong,Mar-23,All sectors adequate
ERIS Lifesciences Limited,Pharmaceuticals,25,45,64,46,Adequate,Mar-22,Environment/Social
Esab India Limited,Industrials,27,37,68,46,Adequate,Mar-22,Environment/Social
Escorts Kubota Limited,Auto OEM,44,53,59,52,Adequate,Mar-23,Environment
