Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors
Religare Enterprises Limited,Holding company,40,38,55,45,Below Average,Mar-22,Environment/Social
Renaissance Global Limited,Consumer Retail,31,44,66,48,Adequate,Mar-22,Environment/Social
Repco Home Finance Limited,NBFC,46,60,69,59,Adequate,Mar-23,Environment
Responsive Industries Limited,Plywood Board,24,55,60,46,Below Average,Mar-23,Environment
Restaurant Brands Asia Limited,Restaurants,28,48,63,47,Below Average,Mar-23,Environment/Social
RHI Magnesita India Limited,Industrials,30,36,74,49,Adequate,Mar-22,Environment/Social
Rites Limited,Construction EPC,36,63,61,53,Adequate,Mar-23,Environment
Rolex Rings Limited,Auto Ancillary,26,34,67,44,Below Average,Mar-22,Environment/Social
Rossari Biotech Limited,Chemicals - Speciality Chemicals,33,33,71,48,Below Average,Mar-23,Environment/Social
Route Mobile Limited,IT,45,66,72,61,Strong,Mar-22,Environment
RPSG Ventures Limited,IT,36,52,69,53,Adequate,Mar-22,Environment
Rupa & Company Limited,Textiles,33,58,57,CRISIL ESG 49,Below Average,Mar-23,Environment
S Chand and Company Limited,Publishing,25,41,71,47,Adequate,Mar-22,Environment/Social
S H Kelkar And Company Limited,FMCG,41,42,71,53,Adequate,Mar-23,Environment/Social
S. P. Apparels Limited,Textiles,34,45,65,CRISIL ESG 49,Below Average,Mar-23,Environment/Social
S.J.S. Enterprises Limited,Auto Ancillary,25,31,71,45,Below Average,Mar-22,Environment/Social
Sadbhav Engineering Limited,Transport Infra - Roads,26,33,48,37,Below Average,Mar-22,Environment/Social/Governance
Sadbhav Engineering Limited,Construction EPC,20,25,41,30,Weak,Mar-23,Environment/Social/Governance
Sadbhav Infrastructure Project Limited,Construction EPC,20,29,53,35,Weak,Mar-23,Environment/Social
Sagar Cements Limited,Cement,39,51,65,53,Adequate,Mar-23,Environment
Samvardhana Motherson International Limited,Auto Ancillary,41,49,67,53,Adequate,Mar-22,Environment/Social
Sandhar Technologies Limited,Auto Ancillary,26,30,65,43,Below Average,Mar-22,Environment/Social
Sangam (India) Limited,Textiles,30,58,64,CRISIL ESG 50,Below Average,Mar-23,Environment
Sanofi India Limited,Pharmaceuticals,63,58,69,64,Strong,Dec-21,All sectors adequate
Sansera Engineering Limited,Auto Ancillary,27,40,64,45,Below Average,Mar-22,Environment/Social
Sapphire Foods India Limited,Restaurants,36,49,70,53,Adequate,Mar-23,Environment/Social
Sarda Energy and Minerals Limited,Metals - Ferrous,30,54,62,49,Below Average,Mar-23,Environment
Saregama India Limited,Media,40,41,77,55,Adequate,Mar-22,Environment/Social
Sasken Technologies Limited,IT,64,58,60,61,Strong,Mar-23,All sectors adequate
Satin Creditcare Network Limited,NBFC,58,62,68,63,Strong,Mar-23,All sectors adequate
Savita Oil Technologies Ltd,Lubricants,45,55,61,54,Adequate,Mar-23,Environment
SBI Cards and Payment Services Limited,NBFC,58,63,69,64,Strong,Mar-23,All sectors adequate
SBI Life Insurance Company Limited,Insurance,44,62,67,58,Adequate,Mar-23,Environment
Schaeffler India Limited,Auto Ancillary,40,34,74,52,Adequate,Dec-21,Environment/Social
Schneider Electric Infrastructure Limited,Heavy Electrical Equipment ,47,59,72,CRISIL ESG 60,Adequate,Mar-23,Environment
Seamec Limited,Shipping,29,54,66,50,Below Average,Mar-23,Environment
SEL Manufacturing Company Limited,Textiles,17,29,42,CRISIL ESG 30,Weak,Mar-23,Environment/Social/Governance
Sequent Scientific Limited,Pharmaceuticals,28,46,66,48,Adequate,Mar-22,Environment/Social
Seshasayee Paper and Boards Limited,Paper,40,54,67,54,Adequate,Mar-23,Environment
Shaily Engineering Plastics Limited,Industrials,29,36,70,47,Adequate,Mar-22,Environment/Social
Shalby Limited,Healthcare,37,61,70,56,Adequate,Mar-23,Environment
Shankara Building Products Limited,Building material,26,50,71,50,Adequate,Mar-22,Environment
Shanthi Gears Limited,Auto Ancillary,25,36,69,45,Below Average,Mar-22,Environment/Social
Sharda Cropchem Limited,Chemicals - Speciality Chemicals,23,43,63,44,Below Average,Mar-23,Environment/Social
Sharda Motor Industries Limited,Auto Ancillary,24,35,71,46,Adequate,Mar-22,Environment/Social
Sheela Foam Limited,Consumer Retail,32,46,64,48,Adequate,Mar-22,Environment/Social
Shilpa Medicare Limited,Pharmaceuticals,27,47,60,45,Below Average,Mar-22,Environment/Social
Shipping Corporation of India Limited,Shipping,27,55,59,47,Below Average,Mar-23,Environment
Shoppers Stop Limited,Retailing (Diversified Retail),43,59,68,57,Adequate,Mar-23,Environment
Shree Cement Limited,Cement,49,59,65,58,Adequate,Mar-23,Environment
Shree Renuka Sugars Limited,Sugar,33,39,60,45,Below Average,Mar-22,Environment/Social
Shriram Finance Limited,NBFC,49,64,73,62,Strong,Mar-23,Environment
Shriram Properties Limited,Real Estate,33,51,64,50,Below Average,Mar-23,Environment
Shyam Metalics and Energy Limited,Metals - Ferrous,28,59,66,51,Adequate,Mar-23,Environment
Siemens Limited,Heavy Electrical Equipment ,59,62,62,CRISIL ESG 61,Strong,Sep-23,All sectors adequate
Sikka Ports & Terminals Limited,Port & Port services,14,31,52,33,Weak,Mar-23,Environment/Social
Simplex Infrastructures Limited,Construction EPC,20,29,56,37,Weak,Mar-23,Environment/Social
SIS Limited,Staffing,38,64,71,58,Adequate,Mar-22,Environment
Siyaram Silk Mills Limited,Textiles,34,59,63,CRISIL ESG 52,Adequate,Mar-23,Environment
SJVN Limited,"Power Renewable (Hydro, Nuclear)",45,63,59,55,Adequate,Mar-23,Environment
SKF India Limited,Industrials,46,42,67,54,Adequate,Mar-22,Environment/Social
Small Industries Development Bank of India,Financial Institution ,54,45,53,51,Adequate,Mar-23,Social
SMFG India Credit Company Limited,NBFC,48,46,62,53,Adequate,Mar-23,Environment/Social
Sobha Limited,Real Estate,36,43,62,48,Below Average,Mar-23,Environment/Social
Solar Industries India Limited,Chemicals - Speciality Chemicals,33,43,65,48,Below Average,Mar-23,Environment/Social
Solara Active Pharma Sciences Limited,Pharmaceuticals,28,48,54,43,Below Average,Mar-22,Environment/Social
Somany Ceramics Limited,Sanitary ware and Ceramics,43,59,62,54,Adequate,Mar-23,Environment
Sona BLW Precision Forgings Limited,Auto Ancillary,46,46,69,55,Adequate,Mar-22,Environment/Social
Sonata Software Limited,IT,65,68,66,66,Strong,Mar-23,All sectors adequate
Spandana Sphoorty Financial Limited,NBFC,53,62,61,58,Adequate,Mar-23,All sectors adequate
SpiceJet Limited,Airlines,27,27,55,38,Below Average,Mar-22,Environment/Social
SRF Limited,Chemicals - Speciality Chemicals,32,51,66,50,Below Average,Mar-23,Environment
Star Cement Limited,Cement,44,43,58,50,Below Average,Mar-23,Environment/Social
Star Health and Allied Insurance Company Limited,Insurance,43,52,68,55,Adequate,Mar-23,Environment
State Bank of India,Banks,60,68,67,65,Strong,Mar-23,All sectors adequate
Steel Authority of India Limited,Metals - Ferrous,33,61,53,48,Below Average,Mar-23,Environment
Steel Strips Wheels Limited,Auto Ancillary,26,35,66,44,Below Average,Mar-22,Environment/Social
Sterling And Wilson Renewable Energy Limited,Construction EPC,34,53,56,47,Below Average,Mar-23,Environment
Sterlite Technologies Limited,Telecom,41,54,69,56,Adequate,Mar-23,Environment
Stove Kraft Limited,Consumer Retail,33,47,77,54,Adequate,Mar-22,Environment/Social
Strides Pharma Science Limited,Pharmaceuticals,35,46,61,48,Adequate,Mar-22,Environment/Social
Stylam Industries Limited,Plywood Board,29,58,65,51,Adequate,Mar-23,Environment
Styrenix Performance Materials Limited,Chemicals - Speciality Chemicals,36,53,59,49,Below Average,Mar-23,Environment
Subex Limited,IT,46,59,68,58,Adequate,Mar-23,Environment
Subros Limited,Auto Ancillary,25,37,60,42,Below Average,Mar-22,Environment/Social
Sudarshan Chemical Industries Limited,Chemicals - Speciality Chemicals,35,61,67,54,Adequate,Mar-23,Environment
Sumitomo Chemical India Limited,Chemicals - Speciality Chemicals,41,41,68,52,Adequate,Mar-23,Environment/Social
Sun Pharma Advanced Research Co. Limited,Pharmaceuticals,24,46,70,48,Adequate,Mar-22,Environment/Social
Sun Pharmaceutical Industries Limited,Pharmaceuticals,57,66,60,60,Adequate,Mar-22,All sectors adequate
Sun TV Network Limited,Media,36,40,63,48,Adequate,Mar-22,Environment/Social
Sundaram Clayton Limited,Auto Ancillary,27,40,62,44,Below Average,Mar-22,Environment/Social
Sundaram Finance Limited,NBFC,46,58,72,60,Adequate,Mar-23,Environment
Sundaram Home Finance Limited,NBFC,46,40,63,52,Adequate,Mar-23,Environment/Social
Sundram Fasteners Limited,Auto Ancillary,28,34,71,47,Adequate,Mar-22,Environment/Social
Sunflag Iron and Steel Co.Limited,Metals - Ferrous,28,50,67,49,Below Average,Mar-23,Environment
Sunteck Realty Limited,Real Estate,42,52,65,54,Adequate,Mar-23,Environment
Suprajit Engineering Limited,Auto Ancillary,25,32,65,43,Below Average,Mar-22,Environment/Social
Supreme Petrochem Limited,Chemicals - Bulk & Polymers,42,56,62,54,Adequate,Mar-23,Environment
Supriya Lifescience Limited,Pharmaceuticals,32,47,67,50,Adequate,Mar-22,Environment/Social
Surya Roshni Limited,Metals - Linked Products,42,59,65,56,Adequate,Mar-23,Environment
Suryoday Small Finance Bank Limited,Banks,58,54,78,65,Strong,Mar-23,All sectors adequate
Suven Life Sciences Limited,Pharmaceuticals,24,45,66,46,Adequate,Mar-22,Environment/Social
Suven Pharmaceuticals Limited,Pharmaceuticals,26,46,68,48,Adequate,Mar-22,Environment/Social
Suzlon Energy Limited,"Power Renewable (Solar, Wind)",40,41,67,51,Adequate,Mar-22,Environment/Social
Swan Energy Limited,Oil & Gas - Gas,27,33,61,42,Below Average,Mar-22,Environment/Social
Swaraj Engines Limited,Industrials,38,39,67,50,Adequate,Mar-22,Environment/Social
Symphony Limited,Durables & Electricals,36,53,68,53,Adequate,Mar-22,Environment
Syngene International Limited,Pharmaceuticals,54,67,77,67,Strong,Mar-22,All sectors adequate
Syrma SGS Technology Limited,Durables & Electricals,28,27,62,41,Below Average,Mar-22,Environment/Social
Taj G V K Hotels and Resorts Limited,Hotels,35,49,60,48,Below Average,Mar-23,Environment/Social
Tamil Nadu Newsprint and Papers Limited,Paper,36,68,65,56,Adequate,Mar-23,Environment
Tanla Platforms Limited,IT,64,57,69,64,Strong,Mar-23,All sectors adequate
Tarsons Products Limited,Industrials,27,36,66,45,Below Average,Mar-22,Environment/Social
Tata Capital Financial Services Limited,NBFC,49,45,63,53,Adequate,Mar-23,Environment/Social
Tata Capital Housing Finance Limited,NBFC,46,42,68,54,Adequate,Mar-23,Environment/Social
Tata Capital Limited,Holding company,50,43,67,55,Adequate,Mar-22,Social
Tata Chemicals Limited,Commodity Chemicals,32,55,74,54,Adequate,Mar-23,Environment
Tata Communications Limited,Telecom,63,58,65,63,Strong,Mar-23,All sectors adequate
Tata Consultancy Services Limited,IT,78,73,72,75,Leadership,Mar-23,All sectors adequate
Tata Consumer Products Limited,FMCG,44,47,75,57,Adequate,Mar-23,Environment/Social
Tata Elxsi Limited,IT,60,57,73,65,Strong,Mar-23,All sectors adequate
Tata Housing Development Company Limited,Real Estate,20,21,66,39,Weak,Mar-23,Environment/Social
Tata Investment Corporation Limited,Holding company,46,56,65,56,Adequate,Mar-22,Environment
Tata Motors Limited,Auto OEM,53,67,68,63,Strong,Mar-23,All sectors adequate
Tata Power Renewable Energy Limited,"Power Renewable (Solar, Wind)",38,29,61,45,Below Average,Mar-23,Environment/Social
Tata Projects Limited,Construction EPC,40,40,64,50,Below Average,Mar-23,Environment/Social
Tata Realty and Infrastructure Limited,Real Estate,45,36,65,50,Below Average,Mar-23,Environment/Social
Tata Steel Limited,Metals - Ferrous,38,61,68,56,Adequate,Mar-23,Environment
Tata Teleservices (Maharashtra) Limited,Telecom,38,60,67,55,Adequate,Mar-23,Environment
Tata Teleservices Limited,Telecom,28,32,55,40,Weak,Mar-23,Environment/Social
Tatva Chintan Pharma Chem Limited,Chemicals - Speciality Chemicals,36,56,63,52,Adequate,Mar-23,Environment
TCI Express Limited,Logistics,42,42,68,52,Adequate,Mar-23,Environment/Social
TCNS Clothing Co. Limited,Textile,21,37,66,43,Below Average,Mar-22,Environment/Social
TD Power Systems Limited,Heavy Electrical Equipment,33,55,69,CRISIL ESG 53,Adequate,Mar-23,Environment
TeamLease Services Limited,Staffing,36,51,79,57,Adequate,Mar-22,Environment
Tech Mahindra Limited,IT,78,75,76,76,Leadership,Mar-23,All sectors adequate
Techno Electric And Engineering Company Limited,Construction EPC,30,57,56,47,Below Average,Mar-23,Environment
Technocraft Industries India Limited,Metals - Linked Products,30,61,67,53,Adequate,Mar-23,Environment
Tega Industries Limited,Industrials,31,35,65,45,Below Average,Mar-22,Environment/Social
Tejas Networks Limited,Telecom,29,64,65,52,Adequate,Mar-23,Environment
Texmaco Rail & Engineering Limited,Heavy Engineering,27,41,61,44,Below Average,Mar-22,Environment/Social
Thangamayil Jewellery Limited,Consumer Retail,27,43,63,46,Adequate,Mar-22,Environment/Social
The Andhra Sugars Limited,Commodity Chemicals,19,43,58,41,Below Average,Mar-23,Environment/Social
The Anup Engineering Limited,Heavy Engineering,26,37,62,43,Below Average,Mar-22,Environment/Social
The Bombay Burmah Trading Corporation Limited,Holding company,27,41,65,46,Adequate,Mar-22,Environment/Social
The Bombay Dyeing and Manufacturing Company Limited,Textile,24,43,66,45,Below Average,Mar-22,Environment/Social
The Federal Bank Limited,Banks,56,64,72,65,Strong,Mar-23,All sectors adequate
The Great Eastern Shipping Company Limited,Shipping,30,49,71,51,Adequate,Mar-23,Environment/Social
The India Cements Limited,Cement,36,57,49,47,Below Average,Mar-23,Environment/Governance
The Indian Hotels Company Limited,Hotels,47,47,70,56,Adequate,Mar-23,Environment/Social
The Indian Hume Pipe Company Limited,Industrials,27,37,57,41,Below Average,Mar-22,Environment/Social
The Jammu and Kashmir Bank Limited,Banks,53,59,68,61,Strong,Mar-23,All sectors adequate
The Karnataka Bank Limited,Banks,57,59,74,64,Strong,Mar-23,All sectors adequate
The Karur Vysya Bank Limited,Banks,59,61,75,66,Strong,Mar-23,All sectors adequate
The KCP Limited,Cement,26,52,61,46,Below Average,Mar-23,Environment
The New India Assurance Company Limited,Insurance,37,67,61,54,Adequate,Mar-23,Environment
The Orissa Minerals Development Company Limited,Mining,12,38,59,37,Weak,Mar-23,Environment/Social
The Ramco Cements Limited,Cement,47,50,62,54,Adequate,Mar-23,Environment
The Phoenix Mills Limited,Real Estate,23,21,69,41,Below Average,Mar-23,Environment/Social
The Sandur Manganese And Iron Ores Limited,Mining,31,55,71,53,Adequate,Mar-23,Environment
The South Indian Bank Limited,Banks,51,62,74,63,Strong,Mar-23,All sectors adequate
The Supreme Industries Limited,Plastic Products - Pipes,52,54,69,59,Adequate,Mar-23,All sectors adequate
The Tata Power Company Limited,Power Thermal,36,61,70,56,Adequate,Mar-23,Environment
Themis Medicare Limited,Pharmaceuticals,25,45,68,47,Adequate,Mar-22,Environment/Social
Thermax Limited,Heavy Engineering,35,45,65,50,Adequate,Mar-22,Environment/Social
Thirumalai Chemicals Limited,Commodity Chemicals,37,50,62,50,Below Average,Mar-23,Environment
Thomas Cook India Limited,"Tour, Travel Related Services",39,58,68,55,Adequate,Mar-23,Environment
Thyrocare Technologies Limited,Healthcare,38,59,63,53,Adequate,Mar-23,Environment
Tide Water Oil Co. India Limited,Lubricants,35,61,62,52,Adequate,Mar-23,Environment
Time Technoplast Limited,Industrials,27,34,64,44,Below Average,Mar-22,Environment/Social
Timken India Limited,Industrials,43,51,67,55,Adequate,Mar-22,Environment
Tips Industries Limited,Media,36,33,66,47,Adequate,Mar-22,Environment/Social
Titagarh Rail Systems Limited,Heavy Engineering,28,37,64,45,Below Average,Mar-22,Environment/Social
Titan Company Limited,Consumer Retail,41,54,72,57,Adequate,Mar-22,Environment
TMF Business Services Limited,NBFC,43,35,64,50,Below Average,Mar-23,Environment/Social
TMF Holdings Limited,Holding company,49,40,67,54,Adequate,Mar-22,Environment/Social
Torrent Pharmaceuticals Limited,Pharmaceuticals,55,71,67,64,Strong,Mar-22,All sectors adequate
Torrent Power Limited,Power T&D,43,61,66,57,Adequate,Mar-23,Environment
Transport Corporation of India Limited,Logistics,38,41,66,50,Below Average,Mar-23,Environment/Social
Trent Limited,Multi-brand retail,46,63,68,59,Adequate,Mar-22,Environment
Trident Limited,Textiles,25,51,68,CRISIL ESG 49,Below Average,Mar-23,Environment
Triveni Engineering and Industries Limited,Sugar,29,40,64,46,Adequate,Mar-22,Environment/Social
Triveni Turbine Limited,Industrials,29,37,63,45,Below Average,Mar-22,Environment/Social
TruCap Finance Limited,NBFC,49,41,71,56,Adequate,Mar-23,Environment/Social
Ttk Healthcare Limited,FMCG,46,49,68,55,Adequate,Mar-23,Environment/Social
TTK Prestige Limited,Consumer Retail,32,46,66,49,Adequate,Mar-22,Environment/Social
Tube Investments Of India Limited,Auto Ancillary,29,35,69,46,Adequate,Mar-22,Environment/Social
TV Today Network Limited,Media,38,46,65,51,Adequate,Mar-22,Environment/Social
Tv18 Broadcast Limited,Media,36,44,73,53,Adequate,Mar-22,Environment/Social
TVS Motor Company Limited,Auto OEM,47,54,70,58,Adequate,Mar-23,Environment
TVS Srichakra Limited,Tyre,32,65,63,53,Adequate,Mar-23,Environment
UCO Bank,Banks,52,62,63,59,Adequate,Mar-23,All sectors adequate
Udaipur Cement Works Limited,Cement,33,57,65,52,Adequate,Mar-23,Environment
Uflex Limited,Chemicals - Bulk & Polymers,20,34,70,43,Below Average,Mar-22,Environment/Social
Ujjivan Small Finance Bank Limited,Banks,60,56,76,65,Strong,Mar-23,All sectors adequate
UltraTech Cement Limited,Cement,46,54,69,57,Adequate,Mar-23,Environment
Unichem Laboratories Limited,Pharmaceuticals,27,48,66,48,Adequate,Mar-22,Environment/Social
Union Bank of India,Banks,51,64,65,60,Adequate,Mar-23,All sectors adequate
Uniparts India Limited,Industrials,27,31,61,42,Below Average,Mar-22,Environment/Social
United Breweries Limited,FMCG,48,40,69,55,Adequate,Mar-23,Environment/Social
United Spirits Limited,FMCG,62,43,75,62,Strong,Mar-23,Social
Uno Minda Limited,Auto Ancillary,34,33,64,46,Adequate,Mar-22,Environment/Social
UPL Limited,Chemicals - Speciality Chemicals,49,58,72,60,Adequate,Mar-23,Environment
Usha Martin Limited,Metals - Linked Products,26,58,67,50,Below Average,Mar-23,Environment
UTI Asset Management Company Limited,Financial Services (Capital Market),59,61,74,65,Strong,Mar-23,All sectors adequate
V Mart Retail Limited,Retailing (Diversified Retail),50,58,76,CRISIL ESG 62,Strong,Mar-23,All sectors adequate
V.S.T. Tillers Tractors Limited,Auto OEM,39,52,68,54,Adequate,Mar-23,Environment
VA Tech Wabag Limited,Water and Waste Management,30,38,61,44,Below Average,Mar-22,Environment/Social
Vaibhav Global Limited,Consumer Retail,39,48,67,52,Adequate,Mar-22,Environment/Social
Vakrangee Limited,IT,51,57,68,59,Adequate,Mar-23,All sectors adequate
Valiant Organics Limited,Chemicals - Speciality Chemicals,28,43,65,47,Below Average,Mar-23,Environment/Social
Valor Estate Limited,Real Estate,28,33,62,43,Below Average,Mar-22,Environment/Social
Vardhman Special Steels Limited,Metals - Ferrous,36,62,66,55,Adequate,Mar-23,Environment
Vardhman Textiles Limited,Textiles,34,55,62,CRISIL ESG 51,Adequate,Mar-23,Environment
Varroc Engineering Limited,Auto Ancillary,26,34,58,41,Below Average,Mar-22,Environment/Social
Varun Beverages Limited,FMCG,37,48,69,53,Adequate,Dec-22,Environment/Social
Vedant Fashions Limited,Consumer Retail,27,42,67,47,Adequate,Mar-22,Environment/Social
Vedanta Limited,Metals - Non-Ferrous,41,47,61,51,Adequate,Mar-23,Environment/Social
Venkys India Limited,FMCG,38,49,58,49,Below Average,Mar-23,Environment/Social
Vesuvius India Limited,Industrials,30,36,65,46,Adequate,Dec-21,Environment/Social
V-Guard Industries Limited,Durables & Electricals,28,39,74,49,Adequate,Mar-22,Environment/Social
Vijaya Diagnostic Centre Limited,Healthcare,38,58,64,53,Adequate,Mar-23,Environment
Vimta Labs Limited,Pharmaceuticals,24,41,65,45,Below Average,Mar-22,Environment/Social
Vinati Organics Limited,Chemicals - Speciality Chemicals,46,50,70,56,Adequate,Mar-23,Environment
Vindhya Telelinks Limited,Industrials,37,61,68,56,Adequate,Mar-23,Environment
VIP Industries Limited,Consumer Retail,29,45,67,48,Adequate,Mar-22,Environment/Social
Vodafone Idea Limited,Telecom,44,63,51,52,Adequate,Mar-23,Environment
Voltamp Transformers Limited,Industrials,40,51,61,CRISIL ESG 51,Adequate,Mar-23,Environment
Voltas Limited,Durables & Electricals,53,54,71,61,Strong,Mar-22,All sectors adequate
VRL Logistics Limited,Logistics,37,43,67,51,Adequate,Mar-23,Environment/Social
VST Industries Limited,FMCG,52,31,68,53,Adequate,Mar-23,Social
Walwhan Renewable Energy Limited,"Power Renewable (Solar, Wind)",38,28,51,41,Below Average,Mar-23,Environment/Social
Welspun Corp Limited,Metals - Linked Products,39,58,70,56,Adequate,Mar-23,Environment
Welspun Enterprises Limited,Construction EPC,34,57,72,55,Adequate,Mar-23,Environment
Welspun Living Limited,Textiles,42,59,72,CRISIL ESG 58,Adequate,Mar-23,Environment
Wendt India Limited,Industrials,29,39,74,49,Adequate,Mar-22,Environment/Social
West Coast Paper Mills Limited,Paper,42,52,61,52,Adequate,Mar-23,Environment
Westlife Foodworld Limited,Restaurants,36,59,72,56,Adequate,Mar-23,Environment
Wheels India Limited,Auto Ancillary,28,33,69,46,Adequate,Mar-22,Environment/Social
Whirlpool of India Limited,Durables & Electricals,32,42,69,49,Adequate,Mar-22,Environment/Social
Wipro Limited,IT,77,69,75,74,Leadership,Mar-23,All sectors adequate
Wockhardt Limited,Pharmaceuticals,26,52,61,46,Adequate,Mar-22,Environment
Wonderla Holidays Limited,Hotels,38,55,72,56,Adequate,Mar-23,Environment
Wpil Limited,Industrials,27,35,70,46,Adequate,Mar-22,Environment/Social
YES Bank Limited,Banks,63,58,68,64,Strong,Mar-23,All sectors adequate
Zee Entertainment Enterprises Limited,Media,37,42,55,46,Adequate,Mar-22,Environment/Social
Zensar Technologies Limited,IT,71,68,69,69,Strong,Mar-23,All sectors adequate
ZF Commercial Vehicle Control Systems India Limited,Auto Ancillary,45,43,66,53,Adequate,Mar-22,Environment/Social
Zomato Limited,E-Retail/ E-Commerce,55,43,75,60,Adequate,Mar-23,Social
Zydus Lifesciences Limited,Pharmaceuticals,51,56,71,60,Adequate,Mar-22,All sectors adequate
Zydus Wellness Limited,FMCG,52,48,68,58,Adequate,Mar-23,Social
